,movie_id,title,last_update,release_year,rating,duration,description,ott_id
72,73,An Unfinished Life,20210901,2005,PG-13,108,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive.",4
73,74,Barbie Big City Big Dreams,20210901,2021,G,63,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",4
74,75,Blade Runner: The Final Cut,20210901,1982,R,117,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",4
75,76,Chappie,20210901,2015,R,121,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence.",4
76,77,Clear and Present Danger,20210901,1994,PG-13,142,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.",4
77,78,Cliffhanger,20210901,1993,R,113,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",4
78,79,Cold Mountain,20210901,2003,R,154,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",4
79,80,Crocodile Dundee in Los Angeles,20210901,2001,PG,95,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",4
80,81,Dear John,20210901,2010,PG-13,108,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together.",4
81,82,Do the Right Thing,20210901,1989,R,120,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy.",4
82,83,"El patrón, radiografía de un crimen",20210901,2014,R,100,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.,4
83,84,Extraction,20210901,2015,R,82,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot.",4
84,85,Freedom Writers,20210901,2007,PG-13,124,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives.",4
85,86,Green Lantern,20210901,2011,PG-13,114,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.,4
86,87,House Party,20210901,1990,R,104,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another.",4
87,88,House Party 2,20210901,1991,R,94,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",4
88,89,House Party 3,20210901,1994,R,94,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications.",4
89,90,I Got the Hook Up,20210901,1998,R,93,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",4
90,91,In Too Deep,20210901,1999,R,97,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",4
91,92,Initial D,20210901,2005,PG-13,109,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel.",4
92,93,Janoskians: Untold and Untrue,20210901,2016,R,88,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.,4
93,94,Labyrinth,20210901,1986,PG,101,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.",4
94,95,Letters to Juliet,20210901,2010,PG,105,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance.",4
95,96,Level 16,20210901,2018,PG-13,102,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",4
96,97,Love Don't Cost a Thing,20210901,2003,PG-13,101,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.,4
97,98,Love in a Puff,20210901,2010,R,103,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",4
98,99,Mars Attacks!,20210901,1996,PG-13,106,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace.",4
99,100,Marshall,20210901,2017,PG-13,118,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer.",4
100,101,My Boss's Daughter,20210901,2003,R,86,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush.",4
101,102,Mystery Men,20210901,1999,PG-13,121,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.,4
102,103,Once Upon a Time in America,20210901,1984,R,229,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,4
103,104,Open Season 2,20210901,2008,PG,76,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.,4
104,105,Osmosis Jones,20210901,2001,PG,95,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,4
105,106,Poseidon,20210901,2006,PG-13,98,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",4
106,107,Rhyme & Reason,20210901,1997,R,89,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts.",4
107,108,Same Kind of Different as Me,20210901,2017,PG-13,120,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.,4
108,109,School of Rock,20210901,2003,PG-13,110,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll.",4
109,110,Snervous Tyler Oakley,20210901,2015,PG-13,83,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",4
110,111,Tears of the Sun,20210901,2003,R,121,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",4
111,112,The Blue Lagoon,20210901,1980,R,105,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",4
112,113,The Golden Child,20210901,1986,PG-13,94,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,4
113,114,The Guns of Navarone,20210901,1961,PG-13,156,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel.",4
114,115,The Interview,20210901,2014,R,112,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,4
115,116,The Nutty Professor,20210901,1996,PG-13,95,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",4
116,117,The Nutty Professor II: The Klumps,20210901,2000,PG-13,107,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation.",4
117,118,Welcome Home Roscoe Jenkins,20210901,2008,PG-13,114,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become.",4
118,119,In the Line of Fire,20210831,1993,R,129,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.,4
119,120,Untold: Crime & Penalties,20210831,2021,R,86,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good.",4
120,121,2 Alone in Paris,20210828,2008,R,97,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.",4
121,122,Thimmarusu,20210828,2021,PG-13,125,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit.",4
122,123,Wind River,20210828,2017,R,107,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.,4
123,124,C Kkompany,20210827,2008,PG-13,127,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous.",4
124,125,EMI: Liya Hai To Chukana Padega,20210827,2008,PG-13,128,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.,4
125,126,He's All That,20210827,2021,PG-13,92,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""",4
126,127,Koi Aap Sa,20210827,2006,PG-13,135,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her.",4
127,128,Krishna Cottage,20210827,2004,PG-13,124,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.,4
128,129,Kucch To Hai,20210827,2003,PG-13,136,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",4
129,130,Kyaa Kool Hai Hum,20210827,2005,R,165,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck.",4
130,131,Kyaa Kool Hain Hum 3,20210827,2016,R,124,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father.",4
131,132,Kyaa Super Kool Hain Hum,20210827,2012,R,136,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.,4
132,133,Kyo Kii... Main Jhuth Nahin Bolta,20210827,2001,PG-13,150,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,4
133,134,"LSD: Love, Sex Aur Dhokha",20210827,2010,R,112,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,4
134,135,Mission Istaanbul: Darr Ke Aagey Jeet Hai,20210827,2008,PG-13,119,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.,4
135,136,Once Upon a Time in Mumbaai,20210827,2010,PG-13,133,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime.",4
136,137,Once Upon a Time in Mumbai Dobaara!,20210827,2013,PG-13,142,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control.",4
137,138,Ragini MMS,20210827,2011,R,93,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,4
138,139,Ragini MMS 2,20210827,2014,R,113,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.,4
139,140,SAS: Rise of the Black Swan,20210827,2021,R,124,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train.",4
140,141,Shootout at Lokhandwala,20210827,2007,R,116,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight.",4
141,142,Shor In the City,20210827,2011,PG-13,106,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger.",4
142,143,The Dirty Picture,20210827,2011,PG-13,145,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol.",4
143,144,"Bob Ross: Happy Accidents, Betrayal & Greed",20210825,2021,PG-13,93,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,4
144,145,Really Love,20210825,2020,R,95,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,4
145,146,The November Man,20210825,2014,R,108,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",4
146,147,The Old Ways,20210825,2020,R,90,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed.",4
